STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,EROSION_LEVEL,Erosion risk level,WATER_TYPE,Water type,NUTRIENTS,Nutrients,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2014,,500000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2013,,600000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2012,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2011,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2010,,700000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2009,,200000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2008,,200000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2007,,100000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2006,,200000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,T_CROP,Transgenic crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2005,,300000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2001,,317.525,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2000,,291.449,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1999,,264.822,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1998,,241.387,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1997,,225.977,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1996,,212.632,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1995,,190.181,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1994,,185.823,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1993,,173.959,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1992,,167.299,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1991,,162.648,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1990,,165.609,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1989,,160.175,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1988,,154.105,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1987,,152.289,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1986,,163.46,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,PERMA,Permanent crops,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,1985,,154.869,,2,Two,A,Normal value,3,Thousands,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2021,,35687799,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2020,,35687799,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2019,,35687799,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2018,,35687799,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2017,,35645038,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2016,,27145021,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2015,,22108495,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2014,,22690000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2013,,17150000,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2012,,11199577,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2011,,11199577,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2010,,12001724,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2009,,12001724,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2008,,11988044,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2007,,11988044,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2006,,12345314,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2005,,11766768,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2004,,12128386,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2003,,11249212,,2,Two,A,Normal value,0,Units,,
DATAFLOW,OECD.TAD.ARP:DSD_AGRI_ENV@DF_AGLAND(1.0),Agricultural land area,I,AUS,Australia,A,Annual,O_F,Organic farming,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,HA,Hectares,2002,,6201195,,2,Two,A,Normal value,0,Units,,
